label	text_a
0	女篮，女排，女足都争气
0	干脆取消吧。有名无实的一届奥运会。
1	之前推算奥运会都是从2008（印象太深刻 是中国人就记得住）开始推 2012 2016 这次搞到2021了。我将永远记住2020
0	奥运会之东京新冠特辑
0	上次取消奥运应该还在二战时期把
1	N年后历史题：东京2020奥运会举办日期是哪年？  答案：2021年
1	搞不懂日本人的办事逻辑。接种疫苗后不是更安全吗？同时可以降低检测频率。节省更多的医疗资源。难道就差那7万份疫苗？而且还是国际奥委会出钱。再一个，检测只是下策，预防才是根本。
0	就是控制住了，也不建议日本举办
1	#东京奥运会如空场日本将损失1450亿# 确定还要禁止国外的观众到现场吗？
1	日本经济疲软好多年 就指望这次奥运激活市场翻盘  三万三千亿日元的投入 延期一天光赞助商和维护费都几千万 你不让它办 安培就切腹了
1	推迟吧，但希望别取消，我还是很期待很想看看动漫国的开幕式的
1	因为东京奥运会延期了一年啊
1	#国际奥委会称东京奥运会如期举行#希望延期
1	国际马联就东京奥运会推迟致马术运动员、马术爱好者和全球马术人的信
0	这是在倒逼日本取消2020东京奥运会，估计会产生群退效应
1	2020奥运会决然的抛弃2020年，嫁给2021年
1	相信当这届奥运会正式开幕，点燃圣火的时候，无数人都会激动落泪
1	戴口罩参加奥运会，那游泳跳水怎么办？
0	#东京奥运会火炬又灭了# 中国造火炬能上珠峰，果然工匠精神！
1	#东京奥运会圣火传递现场# 祝此次东京奥运会顺利举办！各运动健儿争创佳绩！
1	也是个逻辑不正常的人～东京奥运会就日本代表队参加咯？你东京奥运会能举办，为什么要停了J联赛
0	取消一定是在今年疫情无法解除的情况下取消，顺延可能性很小。因为下一年还要举行各个项目各个地区的各种比赛，很难协调。奥委会只是体育赛事一个组织，去权衡各种机构比较困难。
1	【#日本拟定奥运会防疫方案#：#东京奥运外国运动员或将至少检测5次#】多采取点措施还是应该的。
1	2021年举办2020年的奥运会去年和今年的我见证了太多
1	刘诗雯原定在东京举行的第三十二届奥林匹克运动会延期至2021年！加油好好养伤，明年见
1	我参与了@新浪财经 发起的投票【#东京奥运会已耗资250亿美元# 你认为东京奥运会如期举办吗？】，我投给了“会”这个选项，你也快来表态吧~
1	明年，欧洲杯，世俱杯，美洲杯，奥运会。。。🙏体育圈2021
1	666，明年夏天东京再相约【话说2020东京奥运会在2021年举行】
0	传递奥运圣火？不，传播病毒
1	他们不会取消东京奥运会 其他国家运动员都因疫情无法抵达东京，因此所有所有项目金银铜通通由日本选手包揽.哼～
1	2020奥运会2021举行。
1	#东京奥运会推迟至2021年#
1	东京奥运会最终决定推迟至2021年夏季
0	#加拿大退出今夏东京奥运会#
0	@你好小卤蛋：国际惯例奥运会只能取消不能延期，是不是有影响下一届奥运会备战四年周期的因数在里面！（假设：延期一年那么就意味着下一届奥运会备战周期缩短了一年，只有三年？不懂就问 单纯的个人猜测 不抬杠）
