label	text_a
1	单方面要求中国增加2000亿美元的进口，但是不包括高科技的产品，这基本就是谈判谈输了。
0	因为我们强大了，但又不够强。78年后我们都一直在寻求合作中发展，现在发展好一些了，15年后美国对华策略大为转变，开始出各种牌，全世界媒体各种抹黑，一带一路，新基建，亚投行，连轮子gong都要说你迫害信仰，我们有说他们这些吗？
0	话说中美的矛盾是什么？只搞商业合作到底是谁受益多？美国为什么要搞贸易战？为什么要制裁我们中国的企业？
1	我们老百姓能支持的有限，也就是用用华为的产品，但要让华为真正挺过去，必须是国家出面和美国硬刚，毕竟美国打压华为是动用国家力量对付一家企业，没有国家出手单靠华为实在很难致胜！
1	继续加收关税啊，再高点，不要怂！
1	感觉内部已经非常清楚没有谈判的可能了，好像美国还没搞清楚，还认为可以继续施压。
0	被欺负、被制裁、被打压。中国回个嘴，咋地也叫战狼外交？
0	合作是正确选择 重大原则决不让步 坚决反对加征关税！
0	谁做的BGM！！！
0	他虽然没说出证据，但他认为中国利用贸易战公开打击美国中西部的农业州，打击特朗普的基本盘，票仓，就是在干涉和影响美国的选举。这也是中国惹恼，惹毛特朗普的地方，激怒了他，让他在贸易战中大打出手。说透了，美国的选举，就是金钱政治，谁能筹到更多的选举经费，谁就有可能获选。你懂得！
0	#中美高层战略对话现场全记录#这一句话“美国没有资格居高临下同中国说话！”??让我们更骄傲，中国的狮子醒了！ ???
1	税法老师上周刚说这辈子都见不到真的贸易战，除非对大豆加税，然后
1	中美贸易战我们关心也没用的，只求不要输的太惨，老美贸易战要搞死我们很容易，毕竟GDP靠的房地产撑起来的
0	群创28日参加2019智能显示展览会，对于近期的贸易战冲击，台厂的状况，释出上述讯息。据了解，群创目前接到的转单订单，主要是工业类相关产品。
1	中国能够应对美国关税，但贸易风险上升#360浏览器#O网页链接 ???
1	美大选是对立财团豿咬豿当选都割世界酒菜。大国间大战都伤嗐大，转移矛盾制造假想敵塑造救世主和世界警察利诱盟友买武器和博美弟酒菜支持像一二大战发战争财声讨中国要巨额好处。影视体育文化渗透洗恼（港台?NBA跪猪）搔扰（入寝南海）鉎杹投?（肺炎）制裁中企）贸易战成本低效果大 ?评论配图
1	王毅部长，您忘了孟晚舟了么
0	如何理解这个禁令？1）美国人不可以在微信上进行各种支付或者转账，这个应该不难理解；2）可以用微信发朋友圈，或用微信打电话吗？这个能算是与微信进行交易吗？#中美关系# #中美关系恐面临更大风险#
0	中国网友放话：美国不促使中华民族伟大复兴以及中国统一，中美关系就好不了
0	开场刘欣被打断三次，翠西的教养还是有待提高 本次访谈翠西就根本没有解释之前声称的6000亿美元，这是准备用一次名义约谈实为访谈的东西遮掩自己的不当言论?
0	你们愿意继续痛 我们就只有陪着呗 还能咋样儿
0	这样从美国回来就不能愉快装逼了
0	王毅表示，过去几年，由于#中国的正当权益受到无理打压#，中美关系遭遇前所未有的严重困难。这种局面损害了两国人民利益，损害了世界稳定与发展，不应再继续下去了。 谈崩了～
0	千万千万不要把中国列为疫区那将意味着中国要平白无故损失好几千亿甚至好几万亿，经济下滑，gdp回落，对中国影响有多大，全世界就会停止和中国的贸易往来，比贸易战都可怕，疫区的同胞请停止你们的脚步不要往外跑了，别在给国家找麻烦，别让其他国家一起因为疫情抵制中国，??????
1	美国??特特普 绝对不会这样 摆正自己位置 与中国对话的。
1	贸易战是个共输的决定，但是美国人拿他做政治工具来丰富自己政治资本
0	不同意美国加税，那美国加了，中国有办法反对吗？
0	终于看到一个对等看待中美关系的人了，其他人都是幻想拜登对中缓和！恨不的马上去舔！
0	这算啥辩论？就是个采访！而且，美国女主播问的问题都是国家领导人级别的人才能回答的，她说自己不代表特朗普，却把刘欣当成中国的代言人，这有个嘛意思？？
1	川普就是喜欢搞事情，这样搞下来，米国政府的钱都集中了，只是苦了老百姓。所以自他上台以来，民众反对是有道理的。昨天的新闻是Facebook信息泄露，间接导致“民众操控”当选总统，今天就是要严格把关中国出口米国的关税，就是想扼制中国的经济，只准自己一家独大，不许别人经济发展
1	美国关税提高，美国就有可能会减少对中国货物进口，会找其他国家进行替代，自然对中国外贸有所影响，但美国自损八百
1	贸易顺差确实大，国内天天宣传美国大豆是转基因，去年进口巴西大豆是进口美国大豆的两三倍。你是美国总统你也恼火
0	【#杨洁篪说中美高层战略对话是有益的#，有利于增进相互了解】
